10001 Vehicles,IAB2,Automotive
10002 Family & Community,IAB6,Family & Parenting
10003 Real Estate,IAB21,Real Estate
10004 Business & Industrial,IAB3,Business
10005 Beauty & Personal Care,IAB18-1,Style & Fashion
10006 Occasions & Gifts,IAB22,Shopping
10007 Internet & Telecom,IAB19-18,Internet Technology
10009 Home & Garden,IAB10,Home & Garden
10010 Food & Groceries,IAB8,Food & Drink
10011 Health,IAB7,Health & Fitness
10012 Finance,IAB13,Personal Finance
10013 Arts & Entertainment,IAB1,Arts & Entertainment
10014 Sports & Fitness,IAB17,Sports
10015 Hobbies & Leisure,IAB9,Hobbies & Interests
10016 Jobs & Education,IAB5,Education
10017 Travel & Tourism,IAB20,Travel
10018 Law & Government,IAB11,Law Government & Politics
10019 Computers & Consumer Electronics,IAB19,Technology & Computing
10020 Dining & Nightlife,IAB8-9,Dining Out
10021 Apparel,IAB18-5,Clothing
10024 Motor Vehicles,IAB2,Automotive
10026 Vehicle Parts & Accessories,IAB2,Automotive
10027 Boats & Watercraft,IAB17-31,Sailing
"10030 Baby, Parenting & Family",IAB6,Family & Parenting
10031 Romance & Relationships,IAB14-1,Dating
10032 Rental Listings,IAB21,Real Estate
10035 Relocation & Household Moving,IAB21,Lifestyle
10039 Property Development,IAB21,Real Estate
10040 Real Estate Agents & Brokerages,IAB21,Real Estate
10042 Real Estate Listings,IAB21,Real Estate
10047 Skin Care,IAB7,Health & Fitness
10048 Tanning & Sun Care,IAB7,Health & Fitness
10049 Spa & Medical Spa,IAB20-24,Spas
10050 Anti-Aging,IAB18-1,Beauty
10052 Baby Care & Hygiene,IAB6-2,Babies & Toddlers
10054 Make-Up & Cosmetics,IAB18-1,Beauty
10055 Hair Care,IAB18-1,Beauty
10057 Perfumes & Fragrances,IAB18-3,Fashion
10058 Shaving & Grooming,IAB18-1,Beauty
10059 Oral Care,IAB7,Health & Fitness
10060 Hygiene & Toiletries,IAB7,Health & Fitness
10061 Face Care,IAB18-1,Beauty
10080 Tobacco,IAB7,Health & Fitness
10081 Household Supplies,IAB10-1,Household Supplies
10082 Food,IAB8,Food & Drink
10083 Beverages,IAB8,Food & Drink
10084 Online Grocery Shopping & Grocery Delivery,IAB22,Shopping
10085 Health Conditions & Concerns,IAB7,Health & Fitness
10086 Nutrition & Dieting,IAB7,Health & Fitness
"10087 Medical Devices, Equipment & Supplies",IAB7,Health & Fitness
10088 Biotech & Pharmaceutical,IAB7,Health & Fitness
10089 Pharmacy,IAB7,Health & Fitness
10090 Professional Medical Resources,IAB7,Health & Fitness
10091 Health Care Services,IAB7,Health & Fitness
10092 Financial Planning & Management,IAB13-4,Financial Planning
10093 Banking,IAB13,Personal Finance
10094 Money Transfer & Wire Services,IAB13,Personal Finance
10095 Investing,IAB13-7,Personal Finance
10096 Business Finance,IAB3,Business
10097 Credit & Lending,IAB13,Personal Finance
10098 Business News & Media,IAB3,Business
"10099 Grants, Scholarships & Financial Aid",IAB4,Education
10102 Insurance,IAB13-6,Insurance
10103 TV & Video,IAB1-7,Television
10105 Entertainment Industry,IAB19-29,Entertainment
10106 Humor & Jokes,IAB1-4,Humor
"10108 News, Media & Publications",IAB12,News
10109 Music & Audio,IAB1-6,Music
"10111 Events, Shows & Cultural Attractions",IAB1,Arts & Entertainment
10112 Books & Literature,IAB1-1,Arts & Entertainment
10113 Camping & Outdoor Recreation,IAB20-9,Camping
10115 Sports & Fitness Apparel,IAB17,Sports
10116 Sports Fan Gear & Apparel,IAB17,Sports
10117 Boating & Water Recreation,IAB17,Sports
10118 Sports Nutrition Supplements,IAB17,Sports
10120 Sports Equipment Rental Services,IAB17,Sports
10121 Sporting Goods,IAB17,Sports
10123 Fitness,IAB7,Health & Fitness
10125 Toys & Games,IAB9,Hobbies & Interests
10127 Occult & Paranormal,IAB9-20,Magic & Illusion
10128 Cooking,IAB8-12,Health/Lowfat Cooking                                                   
10130 Pets & Animals,IAB16,Pets
10131 Arts & Crafts,IAB9-2,Arts & Crafts
10132 Photo & Video,IAB9-23,Photography
10133 Ancestry & Genealogy,IAB9-14,Genealogy
10135 Antiques & Collectibles,IAB9,Hobbies
10137 Gambling,IAB24,Uncategorized
10141 Education & Training,IAB5,Education
10142 Accommodations,IAB20,Travel
10144 Air Travel,IAB20-3,Air Travel
10145 Tourist Attractions & Destinations,IAB20,Travel
10146 Transportation & Excursions,IAB20,Travel
10147 Last Minute Travel,IAB20,Travel
10150 Specialty Travel,IAB20,Travel
10151 Travel Booking Services,IAB20,Travel
10153 Cruises & Cruise Services,IAB20-12,Cruises
10154 Vacation Packages,IAB20,Travel
10159 Military,IAB4,Careers
10160 Public Services,IAB11,Law Government & Politics
10163 Legal,IAB11-2,Legal Issues
10167 Consumer Electronics,IAB19,Technology & Computing                                              
10168 Computers,IAB19,Technology & Computing                                              
